Player,Opposition,Ground,Inns,Runs
Babar Azam,v South Africa,Centurion,2,122
Ahmed Shehzad,v Bangladesh,Mirpur,1,111*
Babar Azam,v England,Karachi,2,110*
Mohammad Rizwan,v South Africa,Lahore,1,104*
Babar Azam,v New Zealand,Lahore,1,101*
Mohammad Hafeez,v New Zealand,Hamilton,1,99*
Ahmed Shehzad,v Zimbabwe,Harare,1,98*
Mohammad Rizwan,v New Zealand,Rawalpindi,1,98*
Babar Azam,v West Indies,Karachi,1,97*
Umar Akmal,v Australia,Mirpur,1,94
Mohammad Rizwan,v Zimbabwe,Harare,1,91*
Fakhar Zaman,v Australia,Harare,2,91
Babar Azam,v South Africa,Johannesburg,2,90
Sarfaraz Ahmed,v Scotland,Edinburgh,1,89*
Ahmed Shehzad,v World-XI,Lahore,1,89
Mohammad Rizwan,v New Zealand,Napier,2,89
Mohammad Rizwan,v England,Karachi,2,88*
Mohammad Rizwan,v England,Karachi,1,88
Misbah-ul-Haq,v Bangladesh,Karachi,1,87*
Babar Azam,v England,Lahore,1,87*
Mohammad Rizwan,v West Indies,Karachi,2,87
Mohammad Hafeez,v England,Manchester,1,86*
Mohammad Hafeez,v South Africa,Centurion,1,86
Babar Azam,v World-XI,Lahore,1,86
Babar Azam,v England,Nottingham,1,85
Mukhtar Ahmed,v Zimbabwe,Lahore,2,83
Mohammad Rizwan,v Zimbabwe,Harare,1,82*
Babar Azam,v Zimbabwe,Rawalpindi,2,82
Mohammad Rizwan,v India,Dubai (DSC),2,79*
Mohammad Rizwan,v Namibia,Abu Dhabi,1,79*
Babar Azam,v New Zealand,Christchurch,2,79*
Babar Azam,v New Zealand,Dubai (DSC),1,79
Babar Azam,v West Indies,Karachi,2,79
Mohammad Rizwan,v Hong Kong,Sharjah,1,78*
Mohammad Rizwan,v Bangladesh,Christchurch,1,78*
Mohammad Rizwan,v West Indies,Karachi,1,78
Sarfaraz Ahmed,v New Zealand,Dubai (DSC),2,76*
Mohammad Rizwan,v England,Manchester,1,76*
Shoaib Malik,v England,Sharjah,2,75
Mohammad Rizwan,v South Africa,Johannesburg,2,74*
Salman Butt,v Canada,King City (NW),1,74
Mohammad Rizwan,v South Africa,Centurion,2,73*
Kamran Akmal,v Bangladesh,Gros Islet,1,73
Salman Butt,v Bangladesh,Gros Islet,1,73
Fakhar Zaman,v Australia,Harare,1,73
Imran Nazir,v Bangladesh,Pallekele,2,72
Mohammad Hafeez,v Zimbabwe,Harare,1,71
Mohammad Rizwan,v India,Dubai (DSC),2,71
Ahmed Shehzad,v Zimbabwe,Harare,1,70
Babar Azam,v Namibia,Abu Dhabi,1,70
Mohammad Hafeez,v England,Manchester,1,69
Mohammad Rizwan,v Bangladesh,Christchurch,2,69
Babar Azam,v Australia,Abu Dhabi,1,68*
Babar Azam,v India,Dubai (DSC),2,68*
Haider Ali,v West Indies,Karachi,1,68
Mohammad Rizwan,v England,Karachi,1,68
Salman Butt,v New Zealand,Bridgetown,2,67*
Mohammad Hafeez,v Bangladesh,Lahore,2,67*
Mohammad Rizwan,v Australia,Dubai (DSC),1,67
