Player,Opposition,Ground,Inns,Overs,Wkts
Umar Gul,v New Zealand,The Oval,1,3.0,5
Umar Gul,v South Africa,Centurion,2,2.2,5
Imad Wasim,v West Indies,Dubai (DSC),1,4.0,5
Umar Gul,v Australia,Dubai (DSC),1,4.0,4
Shadab Khan,v Hong Kong,Sharjah,2,2.4,4
Mohammad Hafeez,v Zimbabwe,Harare,2,2.2,4
Shahid Afridi,v Netherlands,Lord's,2,4.0,4
Imad Wasim,v Zimbabwe,Harare,2,4.0,4
Umar Gul,v Sri Lanka,King City (NW),1,3.0,4
Mohammad Amir,v Sri Lanka,Lahore,2,4.0,4
Usman Qadir,v Zimbabwe,Rawalpindi,1,4.0,4
Shahid Afridi,v New Zealand,Christchurch,2,2.5,4
Shadab Khan,v West Indies,Port of Spain,2,4.0,4
Mohammad Asif,v India,Durban,1,4.0,4
Hasan Ali,v Zimbabwe,Harare,2,4.0,4
Haris Rauf,v New Zealand,Lahore,2,3.3,4
Shahid Afridi,v Scotland,Durban,2,4.0,4
Saeed Ajmal,v Ireland,The Oval,2,4.0,4
Haris Rauf,v New Zealand,Sharjah,1,4.0,4
Shaheen Shah Afridi,v Bangladesh,Adelaide,1,4.0,4
Saeed Ajmal,v England,Abu Dhabi,1,4.0,4
Mohammad Wasim (1),v Zimbabwe,Perth,1,4.0,4
Umar Gul,v Scotland,Durban,2,4.0,4
Saeed Ajmal,v South Africa,Gros Islet,2,4.0,4
Shadab Khan,v Australia,Dubai (DSC),2,4.0,4
Haris Rauf,v New Zealand,Lahore,2,4.0,4
Aizaz Cheema,v Sri Lanka,Abu Dhabi,1,4.0,4
Saeed Ajmal,v New Zealand,Pallekele,2,4.0,4
Umar Gul,v India,Ahmedabad,1,4.0,4
Mohammad Wasim (1),v West Indies,Karachi,2,4.0,4
Mansoor Amjad,v Bangladesh,Karachi,2,1.0,3
Faheem Ashraf,v Scotland,Edinburgh,2,2.4,3
Mohammad Nawaz (3),v Hong Kong,Sharjah,2,2.0,3
Fawad Alam,v Zimbabwe,King City (NW),1,3.0,3
Shadab Khan,v West Indies,Bridgetown,1,4.0,3
